frame,timestamp,track_id,left_arm_angle,right_arm_angle,trunk_angle,head_tilt_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,pose_detected,similarity_score,left_arm_angle_direction,right_arm_angle_direction,trunk_angle_direction,head_tilt_angle_direction,left_shoulder_angle_direction,right_shoulder_angle_direction,left_knee_angle_direction,right_knee_angle_direction,left_arm_angle_magnitude,right_arm_angle_magnitude,trunk_angle_magnitude,head_tilt_angle_magnitude,left_shoulder_angle_magnitude,right_shoulder_angle_magnitude,left_knee_angle_magnitude,right_knee_angle_magnitude,feedback_messages
1,0.03333366733466934,1,128.55971611059738,93.65051375642709,5.661709020948175,179.8382180413708,50.443605811793475,43.573989332902876,83.15537985666384,24.41614370572304,True,,,,,,,,,,,,,,,,,,
2,0.06666733466933868,1,129.21593226573034,94.79935648765698,5.781432277258212,179.72544473124566,50.1912526120394,43.89605173814504,83.68565753862069,24.704154500490542,True,84.53950785279139,100.0,30.0,90.0,90.0,90.0,90.0,90.0,90.0,50.0,99.42388431229901,90.0,90.0,90.0,90.0,90.0,90.0,[]
3,0.10000100200400802,1,130.05956187037236,95.71529982082349,5.8256635547632305,179.61043034749832,49.81452156275155,43.848389157244874,84.3244231467221,25.490992278045198,True,90.30664171987411,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.63468304642012,90.0,90.0,90.0,90.0,90.0,90.0,90.0,[]
4,0.13333466933867735,1,129.87732621944753,95.93810519319331,5.7945133955888695,179.54323512615662,50.02689679249696,44.59189683167172,84.96255956748516,27.343182837791563,True,89.4648972134813,90.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,70.42563467089397,[]
5,0.16666833667334668,1,129.9699358430772,96.07389287937808,5.8137528266175185,179.47637252199257,50.06483469849943,44.66536012439711,85.36951621183951,27.586469746487882,True,87.34467111981115,30.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.42543923629665,90.0,90.0,90.0,90.0,90.0,90.0,90.0,[]
6,0.20000200400801604,1,130.77673236363006,95.9581664007967,6.016248055734891,179.25241056025828,50.00834219999698,44.76816366722033,85.83714514377131,28.83628372574745,True,89.2055087212757,90.0,100.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,89.39988178581373,90.0,90.0,90.0,90.0,90.0,81.95774667900727,[]
7,0.23333567134268537,1,131.20765219038975,96.1357240681788,6.012140546675968,179.14842349519898,49.88674775729657,44.82045848560485,85.74936088722272,28.893173247751385,True,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,[]
8,0.2666693386773547,1,131.06083765675092,95.78902703726749,6.033161912248177,179.1195886621444,50.058538319220965,45.026594450953965,85.94337164863816,29.009786405513,True,87.69360419032077,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,63.74861133638831,90.0,90.0,90.0,90.0,90.0,90.0,90.0,[]
9,0.30000300601202406,1,131.91377299600833,95.71126227095574,6.076645593031754,179.0681130934744,49.77708224437364,45.036045741581226,86.03178022854867,29.39868344370751,True,89.70452083122028,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,82.90019839257411,90.0,90.0,90.0,90.0,90.0,90.0,90.0,[]
10,0.33333667334669337,1,134.33979388223784,95.92075195227203,6.078586288217494,178.92053695555305,48.70866290674847,44.97935731715491,86.171638507932,30.143501537322642,True,87.5584212168347,100.0,100.0,90.0,90.0,30.0,90.0,90.0,90.0,84.27091713770494,89.62256781316285,90.0,90.0,89.99624092374837,90.0,90.0,90.0,[]
11,0.3666703406813627,1,135.2836473445523,95.99176061649898,6.1034766691407025,178.9200252198299,48.287451449525356,44.88871148926776,86.31302304221444,30.17332325384324,True,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,[]
12,0.4000040080160321,1,137.1792412978258,95.65883990129889,6.225022806698798,178.9273022103747,47.63278067215205,45.19557166876614,86.66047149339255,30.0323098362689,True,83.27794669596008,100.0,30.0,90.0,90.0,90.0,90.0,90.0,90.0,50.0,87.40901615200087,90.0,90.0,90.0,90.0,90.0,90.0,[]
